"table_name","ordinal_position","column_name","data_type","is_nullable","column_default","constraint_type","foreign_table_name","foreign_column_name"
"content_blocks",12,"created_at","timestamp with time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"content_blocks",13,"updated_at","timestamp with time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"content_blocks",14,"updated_by","uuid","YES",NULL,"FK","users","id"
"evento_presencas",1,"id","uuid","NO","gen_random_uuid()","PK","evento_presencas","id"
"evento_presencas",2,"evento_id","uuid","NO",NULL,"FK","eventos","id"
"evento_presencas",2,"evento_id","uuid","NO",NULL,"",NULL,NULL
"evento_presencas",3,"user_id","uuid","NO",NULL,"",NULL,NULL
"evento_presencas",3,"user_id","uuid","NO",NULL,"FK","users","id"
"evento_presencas",4,"entrou_em","timestamp with time zone","YES","now()","",NULL,NULL
"evento_presencas",5,"saiu_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"evento_presencas",6,"ativa","boolean","YES","true","",NULL,NULL
"evento_presencas",7,"quorum_versao","integer","YES","1","",NULL,NULL
"evento_presencas",8,"quorum_epoch","uuid","YES",NULL,"",NULL,NULL
"evento_presencas",9,"device_id","text","YES",NULL,"",NULL,NULL
"evento_votacao_elegiveis",1,"votacao_id","uuid","NO",NULL,"PK","evento_votacao_elegiveis","votacao_id"
"evento_votacao_elegiveis",1,"votacao_id","uuid","NO",NULL,"PK","evento_votacao_elegiveis","user_id"
"evento_votacao_elegiveis",1,"votacao_id","uuid","NO",NULL,"FK","evento_votacoes","id"
"evento_votacao_elegiveis",2,"user_id","uuid","NO",NULL,"PK","evento_votacao_elegiveis","votacao_id"
"evento_votacao_elegiveis",2,"user_id","uuid","NO",NULL,"PK","evento_votacao_elegiveis","user_id"
"evento_votacao_elegiveis",2,"user_id","uuid","NO",NULL,"FK","users","id"
"evento_votacao_elegiveis",3,"entrou_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"evento_votacao_opcoes",1,"id","uuid","NO","gen_random_uuid()","PK","evento_votacao_opcoes","id"
"evento_votacao_opcoes",2,"votacao_id","uuid","NO",NULL,"FK","evento_votacoes","id"
"evento_votacao_opcoes",3,"texto","text","NO",NULL,"",NULL,NULL
"evento_votacao_opcoes",4,"ordem","integer","YES","0","",NULL,NULL
"evento_votacao_votos",1,"id","uuid","NO","gen_random_uuid()","PK","evento_votacao_votos","id"
"evento_votacao_votos",2,"votacao_id","uuid","NO",NULL,"FK","evento_votacoes","id"
"evento_votacao_votos",2,"votacao_id","uuid","NO",NULL,"",NULL,NULL
"evento_votacao_votos",3,"user_id","uuid","NO",NULL,"",NULL,NULL
"evento_votacao_votos",3,"user_id","uuid","NO",NULL,"FK","users","id"
"evento_votacao_votos",4,"opcao_id","uuid","NO",NULL,"FK","evento_votacao_opcoes","id"
"evento_votacao_votos",5,"recibo","uuid","YES","gen_random_uuid()","",NULL,NULL
"evento_votacao_votos",6,"votou_em","timestamp with time zone","YES","now()","",NULL,NULL
"evento_votacoes",1,"id","uuid","NO","gen_random_uuid()","PK","evento_votacoes","id"
"evento_votacoes",2,"evento_id","uuid","NO",NULL,"FK","eventos","id"
"evento_votacoes",3,"titulo","character varying","NO",NULL,"",NULL,NULL
"evento_votacoes",4,"status","character varying","YES","'AGENDADA'::character varying","",NULL,NULL
"evento_votacoes",5,"abre_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"evento_votacoes",6,"encerra_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"evento_votacoes",7,"duracao_min","integer","YES","2","",NULL,NULL
"evento_votacoes",8,"criado_por","uuid","YES",NULL,"FK","users","id"
"evento_votacoes",9,"quorum_epoch_travado","uuid","YES",NULL,"",NULL,NULL
"evento_votacoes",10,"presenca_minima_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"evento_votacoes",11,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
"eventos",1,"id","uuid","NO","gen_random_uuid()","PK","eventos","id"
"eventos",2,"tipo","character varying","NO",NULL,"",NULL,NULL
"eventos",3,"titulo","character varying","NO",NULL,"",NULL,NULL
"eventos",4,"pauta_resumida","text","YES",NULL,"",NULL,NULL
"eventos",5,"data_hora_inicio_prevista","timestamp with time zone","YES",NULL,"",NULL,NULL
"eventos",6,"duracao_prevista_min","integer","YES",NULL,"",NULL,NULL
"eventos",7,"edital_pdf_url","text","YES",NULL,"",NULL,NULL
"eventos",8,"status","character varying","YES","'RASCUNHO'::character varying","",NULL,NULL
"eventos",9,"quorum_versao_atual","integer","YES","1","",NULL,NULL
"eventos",10,"created_by","uuid","YES",NULL,"FK","users","id"
"eventos",11,"abre_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"eventos",12,"encerra_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"eventos",13,"quorum_epoch","uuid","YES","gen_random_uuid()","",NULL,NULL
"eventos",14,"created_at","timestamp with time zone","YES","now()","",NULL,NULL
"eventos",15,"updated_at","timestamp with time zone","YES","now()","",NULL,NULL
"job_runs",1,"job_name","character varying","NO",NULL,"PK","job_runs","job_name"
"job_runs",2,"last_run_date","character varying","YES",NULL,"",NULL,NULL
"job_runs",3,"updated_at","timestamp with time zone","YES","now()","",NULL,NULL
"logistica_auditoria",1,"id","uuid","NO","gen_random_uuid()","PK","logistica_auditoria","id"
"logistica_auditoria",2,"recurso_tipo","character varying","NO",NULL,"",NULL,NULL
"logistica_auditoria",3,"recurso_id","uuid","NO",NULL,"",NULL,NULL
"logistica_auditoria",4,"evento_id","uuid","YES",NULL,"FK","logistica_eventos","id"
"logistica_auditoria",5,"user_id","uuid","YES",NULL,"FK","users","id"
"logistica_auditoria",6,"gestor_id","uuid","NO",NULL,"FK","users","id"
"logistica_auditoria",7,"acao","character varying","NO",NULL,"",NULL,NULL
"logistica_auditoria",8,"justificativa","text","NO",NULL,"",NULL,NULL
"logistica_auditoria",9,"dados_anteriores","jsonb","YES",NULL,"",NULL,NULL
"logistica_auditoria",10,"dados_novos","jsonb","YES",NULL,"",NULL,NULL
"logistica_auditoria",11,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
"logistica_eventos",1,"id","uuid","NO","gen_random_uuid()","PK","logistica_eventos","id"
"logistica_eventos",2,"titulo","text","NO",NULL,"",NULL,NULL
"logistica_eventos",3,"descricao","text","YES",NULL,"",NULL,NULL
"logistica_eventos",4,"data_inicio","timestamp with time zone","NO",NULL,"",NULL,NULL
"logistica_eventos",5,"data_fim","timestamp with time zone","NO",NULL,"",NULL,NULL
"logistica_eventos",6,"status","character varying","YES","'ativo'::character varying","",NULL,NULL
"logistica_eventos",7,"documento_url","text","YES",NULL,"",NULL,NULL
"logistica_eventos",8,"documento_id","text","YES",NULL,"",NULL,NULL
"logistica_eventos",9,"assembleia_id","uuid","YES",NULL,"FK","assembleias","id"
"logistica_eventos",10,"cancelado_por","uuid","YES",NULL,"FK","users","id"
"logistica_eventos",11,"encerrado_por","uuid","YES",NULL,"FK","users","id"
"logistica_eventos",12,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
"logistica_eventos",13,"updated_at","timestamp with time zone","YES","now()","",NULL,NULL
"logistica_inscricoes",1,"id","uuid","NO","gen_random_uuid()","PK","logistica_inscricoes","id"
"logistica_inscricoes",2,"evento_id","uuid","NO",NULL,"FK","logistica_eventos","id"
"logistica_inscricoes",2,"evento_id","uuid","NO",NULL,"",NULL,NULL
"logistica_inscricoes",3,"user_id","uuid","NO",NULL,"FK","users","id"
"logistica_inscricoes",3,"user_id","uuid","NO",NULL,"",NULL,NULL
"logistica_inscricoes",4,"data_chegada","timestamp with time zone","NO",NULL,"",NULL,NULL
"logistica_inscricoes",5,"data_saida","timestamp with time zone","NO",NULL,"",NULL,NULL
"logistica_inscricoes",6,"observacoes","text","YES",NULL,"",NULL,NULL
"logistica_inscricoes",7,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
"logistica_inscricoes",8,"updated_at","timestamp with time zone","YES","now()","",NULL,NULL
"push_campaigns",1,"id","uuid","NO","gen_random_uuid()","PK","push_campaigns","id"
"push_campaigns",2,"title","text","YES",NULL,"",NULL,NULL
"push_campaigns",3,"body","text","NO",NULL,"",NULL,NULL
"push_campaigns",4,"target_type","character varying","NO",NULL,"",NULL,NULL
"push_campaigns",5,"target_value","jsonb","YES",NULL,"",NULL,NULL
"push_campaigns",6,"data","jsonb","YES",NULL,"",NULL,NULL
"push_campaigns",7,"created_by","uuid","YES",NULL,"FK","users","id"
"push_campaigns",8,"status","character varying","YES","'PENDING'::character varying","",NULL,NULL
"push_campaigns",9,"sent_at","timestamp with time zone","YES",NULL,"",NULL,NULL
"push_campaigns",10,"result","jsonb","YES",NULL,"",NULL,NULL
"push_campaigns",11,"created_at","timestamp with time zone","YES","now()","",NULL,NULL
"push_tickets",1,"id","uuid","NO","gen_random_uuid()","PK","push_tickets","id"
"push_tickets",2,"campaign_id","uuid","NO",NULL,"FK","push_campaigns","id"
"push_tickets",3,"ticket_id","text","NO",NULL,"",NULL,NULL
"push_tickets",4,"expo_push_token","text","NO",NULL,"",NULL,NULL
"push_tickets",5,"status","character varying","YES","'ok'::character varying","",NULL,NULL
"push_tickets",6,"processed","boolean","YES","false","",NULL,NULL
"push_tickets",7,"error_message","text","YES",NULL,"",NULL,NULL
